item-db-1  | 2024-12-17T02:50:21.715197028Z 2024-12-17T02:50:21.714+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=ec68690abc4e
item-db-1  | 2024-12-17T02:50:24.281763532Z 2024-12-17T02:50:24.281+0000 I STORAGE  [initandlisten] createCollection: admin.system.version with provided UUID: c08c3da2-611f-48a8-9333-39e0751d427c
item-db-1  | 2024-12-17T02:50:24.321206827Z 2024-12-17T02:50:24.320+0000 I COMMAND  [initandlisten] setting featureCompatibilityVersion to 3.6
item-db-1  | 2024-12-17T02:50:24.321672155Z 2024-12-17T02:50:24.321+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with generated UUID: d3237c71-c472-4faa-885c-ade79de3b5bd
item-db-1  | 2024-12-17T02:50:24.389517719Z 2024-12-17T02:50:24.389+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
item-db-1  | 2024-12-17T02:50:24.391091083Z 2024-12-17T02:50:24.390+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
item-db-1  | 2024-12-17T02:50:24.391119017Z 2024-12-17T02:50:24.390+0000 I STORAGE  [LogicalSessionCacheRefresh] createCollection: config.system.sessions with generated UUID: f286fa1a-c1b1-42e2-a5d8-a7c95bb177b8
item-db-1  | 2024-12-17T02:50:24.391123565Z 2024-12-17T02:50:24.390+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
item-db-1  | 2024-12-17T02:50:24.391127374Z 2024-12-17T02:50:24.390+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
item-db-1  | 2024-12-17T02:50:24.448376324Z 2024-12-17T02:50:24.447+0000 I INDEX    [LogicalSessionCacheRefresh] build index on: config.system.sessions properties: { v: 2, key: { lastUse: 1 }, name: "lsidTTLIndex", ns: "config.system.sessions", expireAfterSeconds: 1800 }
item-db-1  | 2024-12-17T02:50:24.448415813Z 2024-12-17T02:50:24.448+0000 I INDEX    [LogicalSessionCacheRefresh] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
item-db-1  | 2024-12-17T02:50:24.450422401Z 2024-12-17T02:50:24.450+0000 I INDEX    [LogicalSessionCacheRefresh] build index done.  scanned 0 total records. 0 secs
item-db-1  | 2024-12-17T02:54:39.196108030Z 2024-12-17T02:54:39.195+0000 I NETWORK  [listener] connection accepted from 172.21.0.3:47470 #1 (1 connection now open)
item-db-1  | 2024-12-17T02:54:39.209067042Z 2024-12-17T02:54:39.208+0000 I NETWORK  [conn1] received client metadata from 172.21.0.3:47470 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "5.15.167.4-microsoft-standard-WSL2" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
item-app-1  | 2024-12-17T02:54:38.604348241Z 
item-app-1  | 2024-12-17T02:54:38.604406486Z > docker-software-delivery@1.0.0 start /app
item-app-1  | 2024-12-17T02:54:38.604410979Z > node ./bin/www
item-app-1  | 2024-12-17T02:54:38.604413992Z 
item-app-1  | 2024-12-17T02:54:39.157324712Z NODE_ENV: production
item-app-1  | 2024-12-17T02:54:39.217783364Z Connected to database
